title,author_id,format_id,publisher_id,was_read,published_at,isbn
A QUEDA,50,1,26,YES,1956,978-85-7799-008-5
O ESTRANGEIRO,50,1,26,NO,1942,978-85-7799-270-6
A QUEDA DA AMÉRICA,1,1,1,YES,1966,978-85-254-3085-4
UIVO,1,1,1,YES,1956,978-85-254-1022-1
LARANJA MECÂNICA,2,3,20,YES,1962,978-85-7657-446-0
DRÁCULA,3,5,31,YES,1987,978-65-5561-257-8
UM CONTO DE NATAL,4,1,1,YES,1843,978-85-254-1243-0
O CLUBE DA LUTA,5,3,3,YES,1996,978-85-8044-449-0
A GAROTA DE CASSIDY,6,1,1,YES,1951,85-254-0214-1
MEMÓRIAS DE UMA BEATNIK,7,3,11,YES,1994,978-85-63137-06-7
O SOL TAMBEM SE LEVANTA,8,4,9,YES,1926,978-02-957-9776-2
O VELHO E O MAR,8,3,12,YES,1952,978-85-286-1798-6
O GRANDE GATSBY,9,5,4,YES,1925,978-65-5870-087-6
O CURIOSO CASO DE BENJAMIN BUTTON,9,1,1,YES,1922,978-85-254-2857-8
DIÁRIOS DO SUBSOLO,10,1,6,YES,1864,978-85-7232-870-8
CRIME E CASTIGO,10,4,6,YES,1866,978-65-86014-67-9
NOITES BRANCAS,10,1,6,YES,1848,978-85-254-1748-0
MEMORIA DA CASA DOS MORTOS,10,1,1,YES,1862,978-85-254-1755-8
O SÓSIA,10,4,6,YES,1846,978-65-5910-167-2
O CAVALEIRO DOS SETE REINOS,11,4,3,YES,1998,978-85-441-0404-0
"""1984""",12,3,8,YES,1949,978-85-359-1484-9
A REVOLUÇÃO DOS BICHOS,12,3,8,YES,1945,978-85-359-0955-5
NA PIOR EM PARIS E LONDRES,12,5,32,YES,1933,978-65-896-7819-9
GUERRA DOS MUNDOS,13,1,1,YES,1898,978-85-254-3629-0
A MÁQUINA DO TEMPO,13,4,14,YES,1895,978-65-556-1264-6
A COR QUE CAIU DO ESPAÇO,14,5,18,YES,1927,978-85-8442-355-2
SUSSURROS NA ESCURIDÃO,14,5,18,YES,1968,978-85-8442-357-6
O CHAMADO DE CTHULHU,14,5,18,YES,1928,978-85-8442-353-8
RUM: DIÁRIO DE UM JORNALISTA BÊBADO,15,5,19,YES,1998,85-7616-108-7
MEDO E DELÍRIO EM LAS VEGAS,15,3,1,YES,1971,
HARRY POTTER E A PEDRA FILOSOFAL,16,3,2,YES,1997,978-85-325-2305-1
HARRY POTTER E A CÂMARA SECRETA,16,3,2,YES,1998,978-85-325-2306-8
HARRY POTTER E O CÁLICE DE FOGO,16,3,2,YES,2000,978-85-325-2308-2
HARRY POTTER E O PRISIONEIRO DE AZKABAN,16,3,2,YES,1999,978-85-325-2307-5
HARRY POTTER E A ORDEM DA FÊNIX,16,3,2,YES,2003,978-85-325-2309-9
HARRY POTTER E AS RELÍQUIAS DA MORTE,16,3,2,YES,2007,978-85-325-2311-2
HARRY POTTER E O ENIGMA DO PRÍNCIPE,16,3,2,YES,2005,978-85-325-2310-5
O SENHOR DOS ANÉIS: A SOCIEDADE DO ANEL,17,4,7,YES,1954,978-85-95084-75-9
O SENHOR DOS ANÉIS: AS DUAS TORRES,17,4,7,YES,1954,978-85-95084-76-6
O SENHOR DOS ANÉIS: O RETORNO DO REI,17,4,7,YES,1955,978-85-95084-77-3
O HOBBIT,17,4,7,YES,1937,978-85-9508-474-2
O HOBBIT,17,1,7,YES,1937,978-65-55110-29-6
ON THE ROAD,18,1,1,YES,1957,978-85-254-1320-8
ON THE ROAD (O MANUSCRITO ORIGINAL),18,1,1,YES,1951,978-85-254-2488-4
ON THE ROAD,18,4,1,YES,1957,978-85-254-2869-1
ON THE ROAD,18,3,1,YES,1957,978-85-254-3232-2
OS VAGABUNDOS ILUMINADOS,18,1,1,YES,1958,978-85-254-1364-2
OS VAGABUNDOS ILUMINADOS,18,3,1,YES,1958,978-65-5666-238-1
TRISTESSA,18,1,1,YES,1960,978-85-254-1546-2
VISÕES DE GERARD,18,1,1,YES,1963,978-85-254-3278-0
ANJOS DA DESOLAÇÃO,18,3,1,YES,1965,978-85-254-2041-1
SATORI EM PARIS,18,1,1,YES,1966,978-85-254-1989-7
MAGGIE CASSIDY,18,3,1,YES,1959,978-85-254-3907-9
PIC,18,1,1,YES,1971,978-85-254-3458-6
A GERAÇÃO BEAT,18,1,1,YES,1957,978-85-254-1667-4
BIG SUR,18,1,1,YES,1962,978-85-254-1927-9
VIAJANTE SOLITÁRIO,18,1,1,YES,1960,978-85-254-1448-9
DOUTOR SAX,18,3,1,NO,1959,978-65-5666-335-7
CENAS DE NOVA YORK,18,2,1,YES,,
OS SUBTERRÂNEOS,18,1,1,YES,1958,978-85-254-1596-1
OS SUBTERRÂNEOS,18,3,1,YES,1958,978-85-254-3768-6
A ESTRADA,19,2,,YES,1907,
ORGULHO E PRECONCEITO,10,5,13,YES,1813,978-65-5870-116-3
PERGUNTE AO PÓ,23,3,22,YES,1939,978-85-03-00753-5
CAPITÃES DA AREIA,21,3,37,YES,1937,978-85-359-1406-1
UM ESTRANHO NO NINHO,24,1,26,YES,1976,978-85-7799-042-9
PIANO MECÂNICO,25,4,1,YES,1952,978-65-5560-022-3
AMOR NOS TEMPOS DE FÚRIA,26,1,1,YES,1988,978-85-254-2964-9
QUINCAS BORBA,27,1,1,YES,1891,978-85-254-0668-2
O ALIENISTA,27,2,,YES,1882,
DOM CASMURRO,27,2,,YES,1899,
MEMÓRIAS PÓSTUMAS DE BRÁS CUBAS,27,1,27,YES,1881,978-85-326-5417-5
O PERFUME,28,3,34,YES,1985,85-01-02776-6
O PLANETA DOS MACACOS,29,3,20,YES,1963,978-65-86064-05-6
O SENHOR DAS MOSCAS,30,3,17,YES,1954,978-85-5652-122-4
O GATO POR DENTRO,31,2,1,NO,1986,978-8525415264 
ALMOÇO NU,31,3,8,YES,1959,978-85-359-2707-8
JUNKY,31,3,8,YES,1953,978-85-359-2237-0
QUEER,31,3,8,YES,1985,978-85-359-2844-0
E OS HIPOPÓTAMOS FORAM COZIDOS EM SEUS TANQUES,49,3,8,YES,1945,978-85-359-1450-4
A MORTE DE IVAN ILITCH,33,3,25,YES,1886,978-85-7326-359-6
CIDADE GRANDE CIDADE PEQUENA,18,3,1,NO,1950,978-85-254-1737-4
UM PARQUE DE DIVERSÕES DA CABEÇA,26,1,1,NO,1958,978-85-254-1715-2
O IMPRECADOR,34,3,9,NO,1976,978-0060133375
OS IRMÃOS KARAMAZOV,10,4,9,NO,1880,978-85-732-6410-4
O DECLÍNIO DE UM HOMEM,35,2,,YES,1948,
SOL POENTE,35,2,,NO,1947,
O OUTRO,36,4,,YES,1971,978-85-428-1595-5
ZODIACO,37,1,,YES,1986,978-85-63219-60-2
SRA. FLETCHER,38,2,38,YES,2019,978-8542217452
AS AVENTURAS DE PINÓQUIO,39,5,36,YES,1883,978-65-5888-720-1
A METAMORFOSE,40,5,13,YES,1915,85-8186-335-1
O PROCESSO,40,5,24,YES,1925,978-85-368-1802-3
O CASO DE CHARLES DEXTER WARD,14,1,1,YES,1941,978-85-254-0626-2
O CASTELO ANIMADO,40,3,7,YES,1986,978-0-06-147878-9
O ÚLTIMO DESEJO,41,2,,YES,1993,
A ESPADA DO DESTINO,41,4,15,YES,1992,978-85-469-0289-7
MITOLOGIA NÓRDICA,42,4,16,YES,2017,978-85-510-0128-8
O MERCADOR DE VENEZA,43,1,,NO,1598,978-65-5888-362-3
O RETRATO DE DORIAN GRAY,44,4,5,NO,1890,978-85-250-5413-5
CREPÚSCULO DOS ÍDOLOS,45,5,13,NO,1889,85-8186-305-4
O CASTELO,39,3,33,NO,1926,85-319-0045-9
A REVOLUÇÃO DOS BICHOS,12,1,29,YES,1945,85-250-0503-7
ALÉM DO BEM E DO MAL,46,1,1,NO,,978-85-254-1735-0
O JOGADOR,10,1,1,NO,,978-85-254-0930-0
CARTA AO PAI,40,1,1,NO,,978-85-254-1356-7
MEU NOME NÃO É JOHNNY,22,1,26,NO,,978-85-7799-048-1
O LIVRO DOS SONHOS,18,1,1,NO,,978-85-254-0857-0
A REVOLUÇÃO DOS BICHOS,12,3,23,YES,1945,978-65-88436-08-0
GUERRA E PAZ: VOLUME 2,33,1,1,NO,,978-85-254-1672-8
O LIVRO DOS HAIKAIS,18,3,1,NO,,978-85-254-2881-3
NARRATIVAS DO HORROR,14,4,21,YES,,978-65-5579-139-6
"UM POUCO DE AR, POR FAVOR",12,5,32,NO,,978-65-5552-367-6
OS MELHORES CONTOS DE H. P. LOVECRAFT,14,5,31,YES,,
A PLANTA DE FERRO,12,5,32,NO,,978-65-896-7824-3
MEDO CLÁSSICO VOLUME I,14,4,10,NO,,978-85-9454-079-9
MOBY DICK,51,4,9,YES,,978-85-7971-409-2
INICIO E FIM,10,4,6,NO,,978-65-5910-072-9
SOBREVIVENTE,5,3,3,NO,,978-65-5643-066-9
O CORVO E OUTROS POEMAS,48,5,13,YES,,85-8186-460-0
